data_index_,workday_temperature,workday_solar_ghi,workday_f_quarter_0,workday_f_quarter_1,workday_f_quarter_2,workday_f_quarter_3,workday_f_quarter_4,workday_f_quarter_5,weekend_temperature,weekend_solar_ghi,weekend_f_quarter_0,weekend_f_quarter_1,weekend_f_quarter_2,weekend_f_quarter_3,weekend_f_quarter_4,weekend_f_quarter_5
2021-06-06 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3885498046875,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3152770996094,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.2420349121094,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.1671142578125,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0905456542969,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0140075683594,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.9374389648437,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.85772705078125,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.7748718261719,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.6919860839844,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.6091003417969,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.5437316894531,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.4958801269531,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.4480285644531,0.5890390276908875,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.400146484375,5.703354835510254,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.44970703125,19.307891845703125,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.5966796875,39.568939208984375,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.74365234375,63.87946319580078,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.890625,91.03459930419922,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0912170410156,118.83505249023438,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3454895019531,146.32110595703125,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.5997314453125,176.6122589111328,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.8539733886719,211.34103393554688,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.1393127441406,247.13665771484372,0.06540312923014306,0.9978589232386035,0.13052619222005157,0.9914448613738104,0.19509032201612825,0.9807852804032304
2021-06-06 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.45587158203125,283.75518798828125,0.06540312923014306,0.9978589232386035,0.13052619222005157,0.9914448613738104,0.19509032201612825,0.9807852804032304
2021-06-06 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.7723693847656,321.34423828125,0.06540312923014306,0.9978589232386035,0.13052619222005157,0.9914448613738104,0.19509032201612825,0.9807852804032304
